국제표준연속 간행물번호(전자식),국제표준연속 간행물번호(종이식),학술지명(국문),학술지명(외국어),등재 구분,학술지 연구분야,창간년도,발행간기,사용언어,발행기관명(국문),발행기관명(영문),부설연구소 소속 대학,기관 구분
22339558,0304128X,Korean Chemical Engineering Research(HWAHAK KONGHAK),Korean Chemical Engineering Research,등재,공학 > 화학공학,1963,연4회,"한국어,영어",한국화학공학회,The Korean Institute of Chemical Engineers,,학회
27135926,12254150,교육학연구,Korean Journal of Educational Research,우수등재,사회과학 > 교육학,1963,연4회,"한국어,한국어",한국교육학회,The Korean Education Research Association,,학회
22878432,2529777,한국작물학회지,KOREAN JOURNAL OF CROP SCIENCE,등재,농수해양학 > 농학,1963,연4회,"한국어,영어",한국작물학회,Korean Society Of Crop Science,,학회
22883339,10100695,대한한의학회지,Journal of Korean Medicine,등재,의약학 > 한의학,1963,연4회,"한국어,영어",대한한의학회,The Society of Korean Medicine,,학회
,15984818,국제정치논총,Korean Journal of International Relations,우수등재,사회과학 > 정치외교학,1963,연4회,"한국어,영어",한국국제정치학회,The Korean Association Of International Studies,,학회
27140040,12253820,대동문화연구,DAEDONG MUNHWA YEON'GU,등재,인문학 > 기타인문학,1963,연4회,한국어,대동문화연구원,Daedong Institute for Korean Studies,성균관대학교,대학부설연구소
23839902,4402413,미생물학회지,Korean Journal of Microbiology,등재,자연과학 > 생물학,1963,연4회,"한국어,영어",한국미생물학회,The Microbiological Society Of Korea,,학회
,15985202,중등교육연구,SECONDARY EDUCATION RESEARCH,등재,사회과학 > 교육학,1963,연4회,한국어,사범대학부속중등교육연구소,Secondary Education Institute,경북대학교,대학부설연구소
,12261386,불교학보,,등재,인문학 > 불교학 > 기타불교학,1963,연4회,"한국어,영어",불교문화연구원,Institute for Buddhist Culture,동국대학교,대학부설연구소
,26718944,호남학,The Journal of Honam Studies,등재,인문학 > 기타인문학,1963,연2회,한국어,호남학연구원,Institute of Honam Studies,전남대학교,대학부설연구소
22882928,17382637,대한영상의학회지,Journal of the Korean Society of Radiology (JKSR),등재,의약학 > 방사선과학,1964,연6회,"한국어,영어",대한영상의학회,The Korean Society of Radiology,,학회
,12298611,보험학회지,KOREAN JOURNAL OF INSURANCE,등재,사회과학 > 경영학,1964,연4회,"한국어,영어",한국보험학회,Korean Insurance Academic Society,,학회
23340491,12297801,한국세라믹학회지,Journal of The Korean Ceramic Society,등재,공학 > 재료공학,1964,연6회,"한국어,영어",한국세라믹학회,The Korean Ceramic Society,,학회
22877355,12251143,대한조선학회 논문집,Journal of the Society of Naval Architects of Korea,등재,공학 > 조선공학,1964,연6회,"한국어,영어",대한조선학회,The Society Of Naval Architects Of Korea,,학회
,12250120,한국사회학,Korean Journal of Sociology,우수등재,사회과학 > 사회학,1964,연4회,한국어,한국사회학회,The Korean Sociological Association,,학회
,12251089,한국섬유공학회지,Textile Science and Engineering,우수등재,공학 > 섬유공학,1964,연6회,"한국어,영어",한국섬유공학회,The Korean Fiber Society,,학회
20926413,12263613,Experimental and Molecular Medicine,Experimental and Molecular Medicine,등재,의약학 > 생화학,1964,부정기,영어,생화학분자생물학회,Korean Society Of Biochemistry And Molecular Biology,,학회
25088629,17386195,언론정보연구,Journal of Communication Research,등재,사회과학 > 신문방송학,1964,연4회,한국어,언론정보연구소,Institute of Communication Research,서울대학교,대학부설연구소
22343008,3049914,대한수학회지,Journal of the KMS,등재,자연과학 > 수학,1964,연6회,영어,대한수학회,The Korean Mathematical Society,,학회
22337393,22337385,전남의대학술지,Chonnam Medical Journal,등재,의약학 > 의학일반 > 기타의학일반,1964,연3회,"영어,영어",의과학연구소,Chonnam Research Institute of Medical Sciences,전남대학교,대학부설연구소
22343016,10158634,대한수학회보,Bulletin of the KMS,등재,자연과학 > 수학,1964,연6회,영어,대한수학회,The Korean Mathematical Society,,학회
27338975,20052715,한국군사학논집,Korean Journal of Military Art and Science,등재,사회과학 > 군사학 > 군사이론,1964,연3회,"한국어,영어",화랑대연구소,Hwarang Dae Research Institute,육군사관학교,대학부설연구소
22887377,4354036,지질학회지,Journal of the Geological Society of Korea,등재,자연과학 > 지질학,1964,연6회,"한국어,영어",대한지질학회,The Geological Society Of Korea,,학회
26720787,12297925,민족문화연구,Korean Cultural Studies,등재,인문학 > 기타인문학,1964,연4회,한국어,민족문화연구원,Research Institute of Korean Studies,고려대학교,대학부설연구소
,12294683,이화사학연구,EWHA SAHAK YEONGU,등재,인문학 > 역사학 > 역사일반 > 기타역사일반,1964,연2회,한국어,이화사학연구소,Ewha Historical Institutions,이화여자대학교,대학부설연구소
